;artist;genre
115;Faron Young;['country gospel', 'cowboy western', 'nashville sound', 'outlaw country', 'traditional country', 'western swing']
116;Angela Dimitriou;['entehno', 'laiko']
117;Gaetano Donizetti;['early romantic era', 'italian opera']
118;Tom Barabas;['new age']
119;Cyril Pahinui;['hawaiian', 'slack-key guitar']
120;Shriekback;['dance rock', 'new romantic', 'new wave', 'uk post-punk']
121;Tree;['alternative hip hop', 'lo-fi beats']
122;The Allies;['scratch']
123;Junior Kimbrough;['acoustic blues', 'blues', 'country blues', 'delta blues', 'modern blues', 'punk blues', 'traditional blues']
124;Jimmy McGriff;['deep funk', 'jazz funk', 'jazz organ', 'soul jazz']
125;Ten Years After;['album rock', 'art rock', 'blues', 'blues-rock', 'british blues', 'classic rock', 'electric blues', 'folk rock', 'hard rock', 'modern blues', 'psychedelic rock', 'rock', 'roots rock', 'southern rock', 'symphonic rock']
126;Abraham Laboriel;['jazz electric bass']
127;Dusminguet;['rock catala', 'rumba catalana']
128;Birdapres;['outer hip hop']
129;Boards of Canada;['ambient', 'electronic', 'fourth world', 'intelligent dance music', 'microhouse', 'post-rock', 'trip hop', 'vaporwave']
130;Point Of Grace;['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']
131;Slipknot;['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']
132;Ma Rainey;['blues', 'traditional blues']
133;Albin Myers;['big room', 'electro house', 'progressive electro house']
134;Jack Johnson;['neo mellow']
135;Andy & Lucas;['latin pop', 'spanish pop']
136;The Four Pennies;['british invasion', 'merseybeat', 'rock-and-roll']
137;Remy Shand;['canadian pop', 'neo soul']
138;Chris Brown;['dance pop', 'pop', 'pop rap', 'r&b', 'rap']
139;Atreyu;['alternative metal', 'groove metal', 'melodic metalcore', 'metalcore', 'nu metal', 'pop punk', 'post-grunge', 'rap metal', 'rap rock', 'screamo']
140;Quadro Nuevo;['tango']
141;Year Long Disaster;['alternative roots rock', 'stoner rock']
142;Paul Geremia;['piedmont blues']
143;Big Daddy Rick;['ghettotech']
