iron,NOUN
cage,NOUN
tear,NOUN
shelter,NOUN
runs,VERB
hill,NOUN
steep,ADJ
river,NOUN
ocean,NOUN
dead,ADJ
pray,VERB
reach,VERB
jump,VERB
nowhere,ADV
goddamn,NOUN
crooked,ADJ
gabriel,NOUN
kissed,VERB
angel,NOUN
six,NUM
omen,NOUN
tattooed,VERB
wandering,VERB
although,ADP
hit,VERB
knees,NOUN
died,VERB
raise,VERB
lightning,NOUN
strike,VERB
tie,VERB
neck,NOUN
sent,VERB
voice,NOUN
haunt,VERB
dug,VERB
hole,NOUN
inside,ADP
grave,NOUN
mama,NOUN
slave,NOUN
force,NOUN
johnny,NOUN
june,NOUN
tales,NOUN
tongues,NOUN
fingernails,NOUN
between,ADP
draw,VERB
scratch,NOUN
heads,NOUN
race,NOUN
against,ADP
content,ADJ
stand,VERB
ghosts,NOUN
ends,VERB
retreat,NOUN
opposing,VERB
sands,NOUN
lives,NOUN
grandpa,NOUN
wee,ADJ
penny,NOUN
pocket,NOUN
plans,NOUN
backyard,NOUN
build,VERB
rocket,NOUN
talked,VERB
brother,NOUN
fake,VERB
cp,NOUN
tictac,ADJ
box,NOUN
snowballs,NOUN
nice,ADJ
trade,NOUN
spending,VERB
pennies,NOUN
buying,VERB
game,NOUN
growin,NOUN
dad,NOUN
bike,NOUN
pushed,VERB
speed,NOUN
spill,VERB
alcohol,NOUN
cuts,VERB
stung,VERB
shook,VERB
leg,NOUN
guts,NOUN
picture,NOUN
locket,NOUN
dig,VERB
capsule,NOUN
blueprints,NOUN
pack,VERB
quick,ADJ
wished,VERB
loaded,VERB
gun,NOUN
aching,VERB
dreamt,VERB
playing,VERB
games,NOUN
return,VERB
showed,VERB
disguise,NOUN
doorway,NOUN
porch,NOUN
realize,VERB
arms,NOUN
war,NOUN
worn,VERB
ask,VERB
anyway,ADV
accident,NOUN
blew,VERB
buried,VERB
spend,VERB
whole,ADJ
hiding,VERB
dropped,VERB
train,NOUN
station,NOUN
watched,VERB
wave,NOUN
skyscrapers,NOUN
hearted,ADJ
calling,VERB
starting,VERB
seattle,NOUN
bedtime,NOUN
biggest,ADJ
moment,NOUN
tumbling,VERB
trash,NOUN
searching,VERB
strangers,NOUN
bicycles,NOUN
toes,NOUN
tall,ADJ
hopping,VERB
lift,VERB
grey,ADJ
binds,NOUN
disappears,VERB
pulling,VERB
wearing,VERB
boards,NOUN
steal,VERB
engine,NOUN
wheel,NOUN
driving,VERB
oooh,NOUN
follow,VERB
wept,VERB
taking,VERB
seeds,NOUN
sown,VERB
wreck,NOUN
planet,NOUN
ooh,INTJ
sixty,NUM
ragged,ADJ
dog,NOUN
senorita,NOUN
guitar,NOUN
rosary,ADJ
beads,NOUN
slipped,VERB
great,ADJ
laid,VERB
fought,VERB
future,NOUN
holds,VERB
living,VERB
relive,VERB
vintage,ADJ
prayers,NOUN
plays,VERB
organ,NOUN
choral,ADJ
lamp,NOUN
low,ADJ
passing,VERB
devils,NOUN
self,NOUN
respect,NOUN
unexpressed,ADJ
music,NOUN
tv,NOUN
erase,VERB
tattoos,NOUN
hat,NOUN
rooms,NOUN
different,ADJ
yellow,ADJ
blend,VERB
endless,ADJ
rows,NOUN
hay,NOUN
seen,VERB
wanders,VERB
doin,VERB
fountains,NOUN
needed,VERB
proof,NOUN
clock,NOUN
moving,VERB
state,NOUN
ticking,VERB
trap,NOUN
missing,VERB
roles,NOUN
bridge,NOUN
burned,VERB
short,ADJ
quickly,ADV
finish,VERB
track,NOUN
ready,ADJ
evening,NOUN
guarantees,NOUN
wealth,NOUN
allowed,VERB
shelf,NOUN
money,NOUN
doubt,NOUN
circles,NOUN
gotten,VERB
braver,ADJ
amber,NOUN
lee,NOUN
lined,VERB
sometime,ADV
distance,NOUN
human,ADJ
dry,ADJ
blow,VERB
mistake,NOUN
defend,VERB
tragedy,NOUN
progress,NOUN
somehow,ADV
prepared,VERB
especially,ADV
untrue,ADJ
calm,ADJ
storm,NOUN
blows,VERB
hollow,ADJ
awayaway,ADV
restless,ADJ
hour,NOUN
buildings,NOUN
branches,NOUN
oak,NOUN
tree,NOUN
roots,NOUN
shaken,VERB
bedside,NOUN
downside,NOUN
feelthe,DET
translation,NOUN
situation,NOUN
yell,VERB
crack,NOUN
blankets,NOUN
frozen,ADJ
reminds,VERB
swallow,VERB
none,NOUN
shell,NOUN
stories,NOUN
anything,NOUN
climbed,VERB
tops,NOUN
swam,VERB
broke,VERB
flat,ADJ
million,NUM
bucks,NOUN
mouth,NOUN
mess,NOUN
creeping,VERB
planted,VERB
brain,NOUN
remains,VERB
within,ADP
silence,NOUN
narrow,ADJ
streets,NOUN
cobblestone,NOUN
neath,ADV
halo,NOUN
streetlamp,NOUN
stabbed,VERB
flash,NOUN
split,VERB
naked,ADJ
speaking,VERB
hearing,VERB
writing,VERB
shared,VERB
dared,VERB
stir,VERB
cancer,NOUN
grows,VERB
teach,VERB
echoed,VERB
wells,NOUN
crucify,VERB
kick,VERB
raised,VERB
candle,NOUN
birthday,NOUN
glare,NOUN
insatiable,ADJ
robbed,VERB
bare,ADJ
pill,NOUN
hills,NOUN
crosslegged,VERB
fireplace,NOUN
patience,NOUN
thin,ADJ
toying,VERB
strangely,ADV
gleeful,ADJ
fail,VERB
humor,NOUN
facts,NOUN
price,NOUN
pay,VERB
c,NOUN
mon,NOUN
gain,VERB
drive,VERB
mislaid,VERB
taste,NOUN
bear,VERB
photographs,NOUN
spies,NOUN
salt,NOUN
betrays,VERB
gaining,VERB
wishing,VERB
turpentine,VERB
messed,VERB
warning,NOUN
reality,NOUN
permeates,VERB
conquers,NOUN
chord,NOUN
david,ADJ
pleased,ADJ
ya,PRON
fourth,ADJ
fifth,ADJ
minor,ADJ
major,ADJ
baffled,VERB
king,NOUN
composing,VERB
hallelujah,NOUN
bathing,NOUN
roof,NOUN
beauty,NOUN
overthrew,VERB
tied,VERB
kitchen,NOUN
chair,NOUN
throne,NOUN
drew,VERB
flag,NOUN
marble,NOUN
arch,NOUN
victory,NOUN
below,ADP
moved,VERB
holy,ADJ
dove,NOUN
shoot,VERB
outdrew,VERB
confession,NOUN
woah,NOUN
direction,NOUN
justify,VERB
alibi,NOUN
atone,VERB
sins,NOUN
mention,VERB
resurrection,NOUN
setting,VERB
reconcile,VERB
moral,ADJ
compass,NOUN
wicked,ADJ
among,ADP
hangman,NOUN
begs,VERB
mercy,NOUN
rectify,VERB
grandmother,NOUN
beating,VERB
drum,NOUN
neither,DET
grandfather,NOUN
son,NOUN
changes,NOUN
remain,VERB
chained,VERB
wilder,NOUN
brushfire,NOUN
bramble,NOUN
ramble,VERB
aces,NOUN
spaces,NOUN
fuse,NOUN
quickness,NOUN
twisted,ADJ
branch,NOUN
sickness,NOUN
spark,NOUN
gives,VERB
birth,NOUN
watcher,NOUN
fires,NOUN
smoke,NOUN
styrofoam,NOUN
urns,NOUN
ashes,NOUN
sack,NOUN
scorch,VERB
metal,NOUN
melt,VERB
allconsuming,VERB
refines,VERB
heirlooms,NOUN
nightmares,NOUN
mischief,NOUN
condemn,VERB
sons,NOUN
hades,NOUN
gehenna,NOUN
guys,NOUN
exercise,NOUN
demons,NOUN
gnashing,NOUN
become,VERB
remnants,NOUN
homes,NOUN
materials,NOUN
souls,NOUN
chilling,VERB
absolution,NOUN
given,VERB
powerful,ADJ
delusion,NOUN
plague,NOUN
earth,NOUN
scares,VERB
ohooh,INTJ
city,NOUN
avenue,NOUN
leak,NOUN
dam,NOUN
pin,NOUN
tugging,VERB
overhead,ADV
killing,VERB
roll,VERB
resting,VERB
cracked,VERB
